body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
-0.140788,0.079171,0.170523
-0.091343,0.085956,0.095987
0.007405,0.099484,-0.053184
0.021727,0.096411,0.064547
0.028946,0.094867,0.123406
0.017574,0.165269,-0.068039
0.033977,0.201019,-0.011269
0.067019,0.272477,0.102230
0.085707,0.311243,-0.099368
0.094756,0.330703,-0.200179
0.057891,0.239106,-0.246761
0.059630,0.196309,-0.207743
0.063083,0.110663,-0.129766
0.091943,0.116745,-0.247751
0.106312,0.119804,-0.306757
0.053824,-0.027277,-0.639490
0.081668,-0.011341,-0.724111
0.137609,0.020268,-0.893351
0.137908,-0.012536,-0.876415
0.137916,-0.028951,-0.867989
0.165104,-0.041690,-0.917867
0.176069,-0.045562,-0.932827
0.197949,-0.053459,-0.962799
0.209404,-0.060317,-0.894771
0.215085,-0.063870,-0.860785
0.199195,-0.058145,-0.955402
0.191155,-0.088716,-0.890064
0.174423,-0.149967,-0.759554
0.165258,-0.176872,-0.726512
0.160551,-0.190321,-0.710034
0.145907,-0.150106,-0.602015
0.129250,-0.130685,-0.612466
0.096204,-0.091617,-0.633375
0.080665,-0.095031,-0.509231
0.072829,-0.096749,-0.447173
0.041607,-0.086396,-0.304638
0.035287,-0.088390,-0.226870
0.022503,-0.092405,-0.071347
0.028139,-0.048209,-0.054142
0.030965,-0.026115,-0.045532
-0.010958,-0.008840,-0.007997
-0.014147,-0.013175,0.006061
-0.020527,-0.021841,0.034178
-0.056286,-0.030875,0.135218
-0.074175,-0.035388,0.185735
-0.101417,-0.029862,0.175714
-0.105523,-0.031157,0.205521
-0.113747,-0.033701,0.265136
-0.116196,-0.035648,0.172140
-0.117402,-0.036677,0.125643
-0.133150,-0.032310,0.130176
-0.143245,-0.036655,0.176076
-0.163453,-0.045249,0.267880
-0.189141,-0.034501,0.355237
-0.202019,-0.029091,0.398902
-0.215032,-0.014068,0.595822
-0.212053,-0.025065,0.698314
-0.206004,-0.046585,0.903377
-0.216953,-0.020904,0.911533
-0.222550,-0.008105,0.915604
-0.272267,0.027678,1.101359
-0.250289,0.050755,1.172388
-0.206826,0.097783,1.314417
-0.238973,0.065940,1.228984
-0.254888,0.049724,1.186376
-0.223829,0.138422,1.295427
-0.233003,0.083116,1.402774
-0.249655,-0.027237,1.617936
-0.242179,-0.035436,1.455479
-0.238368,-0.039680,1.374366
-0.152618,-0.072980,1.491270
-0.157948,-0.118581,1.318672
-0.167001,-0.210469,0.973697
-0.034625,-0.103799,0.746173
0.031280,-0.050014,0.632480
-0.074079,-0.183621,0.306586
-0.062124,-0.206137,0.321148
-0.038130,-0.251078,0.350354
-0.015863,-0.201521,0.267691
-0.004712,-0.176720,0.226380
0.034452,-0.141921,0.372876
0.032196,-0.177254,0.365574
0.027969,-0.247932,0.350944
0.019079,-0.181792,0.215153
0.014686,-0.148719,0.147256
0.021567,-0.071305,0.026700
0.017494,-0.056069,0.020382
0.009348,-0.025595,0.007748
-0.004820,-0.042231,-0.079091
-0.011893,-0.050545,-0.122513
-0.019484,-0.042327,-0.187096
-0.011448,-0.035297,-0.179839
0.004644,-0.021265,-0.165322
-0.011637,-0.112996,-0.331755
-0.019836,-0.158844,-0.414975
0.000000,0.000000,0.000000
-0.045975,-0.156678,0.050740
