body_0_vel_x,body_0_vel_y,body_0_vel_z
0.006784,-0.052453,-0.022409
0.028603,-0.022552,-0.010150
0.072241,0.037248,0.014368
0.037973,-0.017655,-0.003918
0.020839,-0.045107,-0.013061
0.068053,0.037765,-0.014015
0.057429,0.012593,-0.004630
0.036181,-0.037752,0.014141
0.059751,0.011020,-0.009485
0.071536,0.035407,-0.021299
0.021536,-0.026941,0.006017
0.041981,-0.007065,0.001881
0.082871,0.032687,-0.006391
0.025431,0.023138,-0.021176
-0.003289,0.018363,-0.028569
0.030772,0.025634,0.002115
0.027390,0.031877,-0.017046
0.020625,0.044364,-0.055370
-0.001742,0.064785,0.004612
-0.012926,0.074996,0.034602
0.000450,0.051454,-0.028996
-0.015322,0.075856,-0.007429
-0.046865,0.124660,0.035707
-0.033673,0.049364,0.008430
-0.027076,0.011716,-0.005209
-0.032736,0.108989,0.025628
-0.044872,0.066880,0.019698
-0.069144,-0.017336,0.007839
-0.035967,0.054549,0.017599
-0.019378,0.090492,0.022479
-0.044530,0.008503,0.005305
-0.035833,0.036807,0.015370
-0.018440,0.093417,0.035500
-0.033904,0.059925,0.006390
-0.041636,0.043180,-0.008165
-0.023094,0.064184,0.058794
-0.029142,0.062312,0.035042
-0.041237,0.058569,-0.012463
0.003716,0.044078,0.029317
0.026193,0.036833,0.050207
-0.040848,0.025407,0.018153
-0.013070,0.033149,0.025661
0.042487,0.048634,0.040677
0.003157,0.008239,0.026529
-0.016509,-0.011959,0.019455
-0.006067,0.047938,0.044004
0.006366,0.029484,0.041068
0.031233,-0.007424,0.035196
-0.007428,0.000219,0.025056
-0.026759,0.004040,0.019986
0.035038,0.027211,0.071594
0.029533,0.010519,0.053322
0.018521,-0.022865,0.016780
0.006860,0.000457,0.058581
0.001030,0.012119,0.079481
0.045627,-0.045787,0.012821
0.034256,-0.032337,0.036380
0.011515,-0.005437,0.083499
0.014245,-0.039612,0.044502
0.015610,-0.056699,0.025004
0.065045,-0.027550,0.084313
0.054500,-0.042998,0.072393
0.033410,-0.073894,0.048553
0.071698,-0.036901,0.051474
0.090841,-0.018404,0.052934
0.042223,-0.073101,0.084257
0.045651,-0.046382,0.064905
0.052507,0.007057,0.026200
0.015410,-0.019669,0.073366
-0.003138,-0.033031,0.096949
0.011369,0.045013,0.023911
0.009442,0.014720,0.040499
0.005588,-0.045867,0.073675
0.012912,-0.012717,0.034761
0.016573,0.003858,0.015305
-0.006075,-0.087150,0.046450
-0.013966,-0.048608,0.035442
-0.029748,0.028476,0.013425
-0.054177,-0.020232,0.019786
-0.066392,-0.044586,0.022967
-0.013151,-0.004242,0.015843
-0.045346,-0.022942,0.010540
-0.109736,-0.060342,-0.000066
-0.055738,-0.026528,0.019371
-0.028738,-0.009620,0.029089
-0.057075,-0.040046,-0.029483
-0.052137,-0.035715,-0.012036
-0.042260,-0.027053,0.022858
-0.018392,-0.013596,-0.006763
-0.006458,-0.006868,-0.021574
-0.061966,-0.028610,-0.011399
-0.043557,-0.029375,-0.003187
-0.006738,-0.030905,0.013238
-0.041178,0.001654,-0.017949
-0.058398,0.017933,-0.033542
0.000000,0.000000,0.000000
-0.006859,0.050918,-0.017916
