body_0_x,body_0_y,body_0_z
0.000000,0.000000,0.765382
0.000136,-0.001049,0.764934
0.000708,-0.001500,0.764731
0.002153,-0.000755,0.765018
0.002912,-0.001108,0.764940
0.003329,-0.002010,0.764679
0.004690,-0.001255,0.764398
0.005838,-0.001003,0.764306
0.006562,-0.001758,0.764589
0.007757,-0.001538,0.764399
0.009188,-0.000830,0.763973
0.009619,-0.001369,0.764093
0.010458,-0.001510,0.764131
0.012116,-0.000856,0.764003
0.012624,-0.000393,0.763579
0.012558,-0.000026,0.763008
0.013174,0.000487,0.763050
0.013722,0.001124,0.762709
0.014134,0.002011,0.761602
0.014099,0.003307,0.761694
0.013841,0.004807,0.762386
0.013850,0.005836,0.761806
0.013543,0.007353,0.761658
0.012606,0.009846,0.762372
0.011933,0.010834,0.762541
0.011391,0.011068,0.762436
0.010736,0.013248,0.762949
0.009839,0.014585,0.763343
0.008456,0.014239,0.763500
0.007737,0.015330,0.763852
0.007349,0.017140,0.764301
0.006459,0.017310,0.764407
0.005742,0.018046,0.764715
0.005373,0.019914,0.765425
0.004695,0.021113,0.765553
0.003862,0.021976,0.765389
0.003400,0.023260,0.766565
0.002818,0.024506,0.767266
0.001993,0.025677,0.767017
0.002067,0.026559,0.767603
0.002591,0.027296,0.768607
0.001774,0.027804,0.768970
0.001513,0.028467,0.769484
0.002362,0.029439,0.770297
0.002426,0.029604,0.770828
0.002095,0.029365,0.771217
0.001974,0.030324,0.772097
0.002101,0.030913,0.772918
0.002726,0.030765,0.773622
0.002577,0.030769,0.774123
0.002042,0.030850,0.774523
0.002743,0.031394,0.775955
0.003334,0.031605,0.777021
0.003704,0.031147,0.777357
0.003841,0.031157,0.778528
0.003862,0.031399,0.780118
0.004774,0.030483,0.780375
0.005460,0.029837,0.781102
0.005690,0.029728,0.782772
0.005975,0.028936,0.783662
0.006287,0.027802,0.784162
0.007588,0.027251,0.785848
0.008678,0.026391,0.787296
0.009346,0.024913,0.788267
0.010780,0.024175,0.789297
0.012597,0.023807,0.790356
0.013441,0.022345,0.792041
0.014354,0.021417,0.793339
0.015404,0.021558,0.793863
0.015713,0.021165,0.795330
0.015650,0.020504,0.797269
0.015877,0.021404,0.797747
0.016066,0.021699,0.798557
0.016178,0.020781,0.800031
0.016436,0.020527,0.800726
0.016768,0.020604,0.801032
0.016646,0.018861,0.801961
0.016367,0.017889,0.802670
0.015772,0.018459,0.802938
0.014688,0.018054,0.803334
0.013360,0.017162,0.803794
0.013097,0.017077,0.804110
0.012191,0.016619,0.804321
0.009996,0.015412,0.804320
0.008881,0.014881,0.804707
0.008306,0.014689,0.805289
0.007165,0.013888,0.804699
0.006122,0.013174,0.804459
0.005277,0.012632,0.804916
0.004909,0.012361,0.804781
0.004780,0.012223,0.804349
0.003541,0.011651,0.804121
0.002669,0.011063,0.804057
0.002535,0.010445,0.804322
0.001711,0.010478,0.803963
0.000543,0.010837,0.803292
0.000680,0.009819,0.803651
