body_0_w,body_0_x,body_0_y,body_0_z
0.305620,-0.008713,-0.028340,0.951692
0.304007,-0.008342,-0.026773,0.952257
0.303108,-0.007775,-0.025650,0.952579
0.303640,-0.006819,-0.025415,0.952423
0.303051,-0.005818,-0.025334,0.952620
0.301901,-0.004795,-0.025329,0.952991
0.302591,-0.003185,-0.024994,0.952787
0.302750,-0.001169,-0.024709,0.952749
0.301842,0.001655,-0.024524,0.953041
0.302863,0.004855,-0.024403,0.952709
0.304843,0.008244,-0.024313,0.952056
0.307244,0.010637,-0.024156,0.951265
0.309260,0.012637,-0.024142,0.950587
0.310512,0.013853,-0.024416,0.950155
0.312880,0.015187,-0.024961,0.949343
0.315804,0.016581,-0.025642,0.948333
0.321846,0.016328,-0.026344,0.946284
0.328674,0.016292,-0.027271,0.943909
0.337076,0.016691,-0.028648,0.940894
0.345282,0.016786,-0.030133,0.937865
0.353377,0.016729,-0.031671,0.934795
0.361901,0.016631,-0.033513,0.931465
0.370529,0.016531,-0.035472,0.927996
0.379395,0.016426,-0.037664,0.924322
0.387592,0.016325,-0.039974,0.920819
0.395442,0.016226,-0.042341,0.917371
0.404131,0.016075,-0.044552,0.913474
0.412174,0.015640,-0.046797,0.909768
0.418974,0.014638,-0.049120,0.906550
0.425437,0.013370,-0.051464,0.903425
0.431720,0.011968,-0.053817,0.900321
0.437033,0.010922,-0.055850,0.897643
0.442435,0.009972,-0.057647,0.894890
0.448031,0.009212,-0.058975,0.892023
0.452504,0.008425,-0.060167,0.889690
0.456413,0.007625,-0.061290,0.887622
0.459059,0.006861,-0.062076,0.886208
0.461011,0.006099,-0.062810,0.885148
0.461582,0.005340,-0.063439,0.884810
0.462029,0.005009,-0.063914,0.884544
0.462414,0.004892,-0.064311,0.884315
0.462479,0.004758,-0.064255,0.884286
0.462418,0.004580,-0.064191,0.884324
0.462103,0.004314,-0.064109,0.884496
0.460889,0.003867,-0.063747,0.885157
0.459224,0.003331,-0.063247,0.886060
0.457651,0.002711,-0.062479,0.886930
0.455810,0.002080,-0.061680,0.887935
0.453435,0.001426,-0.060818,0.889211
0.451884,0.000687,-0.059944,0.890060
0.450743,-0.000095,-0.059064,0.890697
0.449564,-0.000906,-0.058023,0.891361
0.447971,-0.001774,-0.056913,0.892233
0.445550,-0.002758,-0.055661,0.893521
0.442347,-0.003711,-0.054135,0.895201
0.438749,-0.004649,-0.052469,0.897065
0.433378,-0.005406,-0.050628,0.899773
0.427059,-0.006197,-0.048865,0.902881
0.418848,-0.007055,-0.047258,0.906798
0.410539,-0.007723,-0.045441,0.910677
0.402162,-0.008294,-0.043516,0.914496
0.392053,-0.008656,-0.041003,0.918987
0.381250,-0.008689,-0.038603,0.923625
0.369096,-0.008066,-0.036430,0.928642
0.357659,-0.007888,-0.034064,0.933198
0.346558,-0.007931,-0.031599,0.937463
0.334410,-0.006999,-0.029121,0.941952
0.321170,-0.006586,-0.026743,0.946621
0.305788,-0.007212,-0.024570,0.951755
0.291875,-0.007931,-0.022476,0.956159
0.278678,-0.008697,-0.020419,0.960128
0.264300,-0.009517,-0.019285,0.964201
0.251524,-0.010823,-0.018199,0.967619
0.242034,-0.013102,-0.017217,0.970027
0.234766,-0.014063,-0.017230,0.971797
0.228611,-0.014367,-0.017740,0.973250
0.225582,-0.016269,-0.017482,0.973931
0.222407,-0.018360,-0.017395,0.974626
0.218939,-0.020831,-0.017645,0.975357
0.216288,-0.022784,-0.017988,0.975898
0.214045,-0.024478,-0.018375,0.976344
0.210385,-0.025721,-0.019107,0.977093
0.206786,-0.027315,-0.019888,0.977803
0.203311,-0.029612,-0.020770,0.978446
0.201173,-0.031307,-0.021390,0.978822
0.199704,-0.032701,-0.021879,0.979066
0.199434,-0.033351,-0.022241,0.979091
0.199227,-0.033860,-0.022531,0.979109
0.199149,-0.034090,-0.022676,0.979114
0.199912,-0.034531,-0.022686,0.978942
0.201096,-0.035078,-0.022628,0.978682
0.202910,-0.035573,-0.022457,0.978293
0.204657,-0.035982,-0.022353,0.977917
0.206270,-0.036218,-0.022382,0.977568
0.209483,-0.037420,-0.022381,0.976840
0.213491,-0.039106,-0.022365,0.975906
0.214039,-0.037490,-0.022459,0.975847
