joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.106771,0.094981,0.003635,0.082558,0.047522,0.043612,0.247217,-0.060509,-0.098621,0.023402,-0.005516,0.074165,0.119433,-0.287466,-0.110553,0.169481,-0.233646,0.069686,-0.051006,-0.499844,0.493328,1.128201,1.018316,-0.105274,0.269490,-0.066995,-0.033077,0.114218,-0.052030
0.094987,0.083205,-0.000542,0.079958,0.042848,0.039017,0.239837,-0.062064,-0.070177,0.043519,0.020640,0.028194,0.078698,-0.297771,-0.128918,0.185921,-0.251456,0.073321,-0.050860,-0.482216,0.484336,1.148492,1.021586,-0.130962,0.288894,-0.078578,-0.039221,0.081698,-0.021200
0.087079,0.074902,-0.003092,0.078435,0.039581,0.035536,0.235808,-0.063177,-0.048573,0.057692,0.039153,-0.004982,0.049016,-0.305648,-0.142820,0.198175,-0.265118,0.076141,-0.051487,-0.467172,0.477601,1.157956,1.015667,-0.152671,0.305075,-0.087152,-0.044725,0.060818,-0.000669
0.086922,0.073543,-0.002390,0.079066,0.039126,0.034282,0.238485,-0.063405,-0.040647,0.059977,0.042385,-0.012567,0.041439,-0.308670,-0.147798,0.202056,-0.270484,0.077328,-0.053658,-0.457295,0.475378,1.145766,0.991367,-0.166420,0.314810,-0.089705,-0.048948,0.063220,-0.000734
0.086575,0.073446,-0.001321,0.079529,0.038483,0.033371,0.241185,-0.065697,-0.034804,0.062563,0.043375,-0.016895,0.037734,-0.312922,-0.151662,0.208669,-0.278618,0.078597,-0.056746,-0.446729,0.472313,1.123174,0.954846,-0.181984,0.331657,-0.093623,-0.056727,0.068244,-0.007040
0.086133,0.073979,-0.000068,0.079908,0.037744,0.032631,0.243899,-0.069020,-0.030003,0.065299,0.043244,-0.019593,0.035964,-0.317788,-0.154969,0.216647,-0.288136,0.079908,-0.060294,-0.435819,0.468828,1.095381,0.912214,-0.198456,0.352061,-0.098222,-0.066282,0.074578,-0.016467
0.087725,0.076768,0.001643,0.080404,0.036205,0.030424,0.253748,-0.071250,-0.021933,0.069120,0.041965,-0.024273,0.032373,-0.322397,-0.158078,0.229214,-0.305431,0.086106,-0.062492,-0.416330,0.460633,1.035972,0.824832,-0.232954,0.391164,-0.102274,-0.076617,0.101282,-0.041943
0.089753,0.080267,0.004037,0.080822,0.034302,0.028442,0.263179,-0.074800,-0.014931,0.073148,0.040712,-0.028370,0.029722,-0.327439,-0.161119,0.242159,-0.322085,0.091892,-0.064498,-0.394329,0.450046,0.966936,0.731258,-0.273570,0.437662,-0.108852,-0.089846,0.130532,-0.070212
0.092653,0.085185,0.007795,0.081084,0.031672,0.026912,0.271772,-0.080990,-0.010064,0.077592,0.039511,-0.031299,0.028948,-0.333346,-0.164027,0.255860,-0.337458,0.096853,-0.066122,-0.367307,0.434678,0.878647,0.625299,-0.326420,0.498949,-0.120484,-0.108865,0.164872,-0.104067
0.097163,0.090676,0.010797,0.081025,0.028284,0.024998,0.281920,-0.087220,-0.007010,0.081081,0.039771,-0.040331,0.020947,-0.337651,-0.168664,0.269388,-0.350162,0.100293,-0.063215,-0.341838,0.421722,0.775622,0.512148,-0.379273,0.558831,-0.136024,-0.127633,0.200525,-0.130618
0.102479,0.096454,0.013422,0.080804,0.024517,0.022891,0.292846,-0.093469,-0.004864,0.084092,0.040762,-0.052416,0.009333,-0.341154,-0.174164,0.282829,-0.361531,0.102972,-0.058044,-0.317146,0.409972,0.665229,0.395401,-0.432126,0.618012,-0.153517,-0.146276,0.236835,-0.153518
0.104474,0.101601,0.014219,0.081035,0.021355,0.020103,0.301798,-0.099736,-0.003953,0.088033,0.037969,-0.074963,-0.007386,-0.348056,-0.177616,0.296796,-0.371037,0.103718,-0.050863,-0.301932,0.405375,0.547240,0.281096,-0.473044,0.682070,-0.178287,-0.166369,0.262919,-0.166011
0.104259,0.107148,0.015347,0.081969,0.018907,0.017390,0.308207,-0.107030,-0.004432,0.094375,0.033631,-0.102016,-0.029370,-0.354549,-0.179781,0.310217,-0.380139,0.103657,-0.042651,-0.288284,0.402003,0.428739,0.170301,-0.515582,0.745707,-0.208129,-0.190822,0.289460,-0.179430
0.099623,0.113494,0.017140,0.084313,0.017884,0.014827,0.309530,-0.116379,-0.007692,0.105519,0.026202,-0.138082,-0.061883,-0.360222,-0.179374,0.322547,-0.388431,0.101984,-0.032380,-0.277767,0.401081,0.309213,0.066522,-0.561358,0.808500,-0.248113,-0.223995,0.316915,-0.194703
0.099526,0.119335,0.016485,0.088314,0.016869,0.011684,0.323192,-0.124277,-0.011898,0.111106,0.020715,-0.184758,-0.100907,-0.364927,-0.179243,0.333700,-0.400486,0.100061,-0.021454,-0.273715,0.401079,0.206194,-0.024133,-0.586060,0.832197,-0.275689,-0.246670,0.336648,-0.206856
0.101698,0.124925,0.014605,0.093143,0.015857,0.008252,0.343024,-0.131448,-0.016576,0.113914,0.016198,-0.236737,-0.143186,-0.369150,-0.179249,0.344266,-0.414421,0.098013,-0.010200,-0.272896,0.401536,0.111429,-0.108227,-0.600224,0.836346,-0.297059,-0.264096,0.352520,-0.217450
0.103980,0.126070,0.014696,0.099602,0.016351,0.005567,0.367800,-0.127824,-0.019152,0.113156,0.014662,-0.314592,-0.207722,-0.377172,-0.178837,0.352246,-0.425416,0.095044,-0.000340,-0.275880,0.410811,0.033558,-0.168983,-0.605182,0.834028,-0.313533,-0.276436,0.375828,-0.245446
0.106617,0.126482,0.015276,0.106210,0.017374,0.002930,0.389491,-0.121222,-0.024217,0.112175,0.014830,-0.395357,-0.275913,-0.385217,-0.178686,0.357196,-0.433930,0.090963,0.009718,-0.280481,0.423977,-0.041219,-0.225929,-0.608965,0.831968,-0.328665,-0.286550,0.397380,-0.269648
0.109966,0.125427,0.016834,0.113119,0.019454,0.000386,0.405010,-0.108664,-0.034259,0.110749,0.018406,-0.481942,-0.351411,-0.393309,-0.179054,0.356089,-0.437481,0.084660,0.020174,-0.288316,0.444923,-0.109807,-0.275251,-0.610398,0.830426,-0.341112,-0.292211,0.415419,-0.286263
0.112047,0.124006,0.018074,0.119992,0.022924,-0.001680,0.413880,-0.095012,-0.041717,0.112523,0.023870,-0.563041,-0.424991,-0.398231,-0.181925,0.350294,-0.434956,0.075918,0.032863,-0.292827,0.467774,-0.164741,-0.318948,-0.611067,0.831386,-0.349202,-0.294717,0.439244,-0.307845
0.113495,0.122402,0.019155,0.126847,0.027089,-0.003508,0.419425,-0.080811,-0.047883,0.115897,0.030279,-0.641397,-0.497611,-0.401568,-0.186046,0.342155,-0.429392,0.065956,0.046667,-0.295676,0.491576,-0.212847,-0.359831,-0.611354,0.833598,-0.355113,-0.295646,0.465961,-0.331910
0.116711,0.120992,0.018771,0.132556,0.031485,-0.003679,0.421024,-0.068689,-0.055045,0.118248,0.037111,-0.692720,-0.548023,-0.400790,-0.187441,0.332832,-0.419869,0.058189,0.059171,-0.301395,0.512482,-0.241751,-0.393399,-0.622524,0.844268,-0.356052,-0.294780,0.484647,-0.345565
0.120538,0.120255,0.017477,0.138462,0.035924,-0.003565,0.423965,-0.055607,-0.060026,0.120678,0.043304,-0.742858,-0.594265,-0.400089,-0.189346,0.325318,-0.410539,0.050755,0.070542,-0.305794,0.532315,-0.268968,-0.425192,-0.626981,0.857283,-0.356159,-0.293835,0.506144,-0.359788
0.125588,0.120868,0.014362,0.144760,0.040451,-0.002881,0.429587,-0.040606,-0.060645,0.123270,0.048218,-0.790628,-0.632164,-0.399543,-0.192273,0.321420,-0.401595,0.043990,0.079646,-0.307552,0.550006,-0.292811,-0.453435,-0.618010,0.874988,-0.354601,-0.292732,0.533263,-0.375147
0.129327,0.120996,0.010922,0.150656,0.044927,-0.002065,0.431574,-0.029172,-0.059748,0.125990,0.052775,-0.833172,-0.665360,-0.399567,-0.192715,0.319448,-0.393539,0.039847,0.086604,-0.306648,0.564017,-0.312182,-0.482522,-0.603326,0.892198,-0.352572,-0.293260,0.557404,-0.387622
0.132411,0.120884,0.007319,0.156350,0.049379,-0.001182,0.431744,-0.019521,-0.058094,0.128775,0.057152,-0.873103,-0.696205,-0.399877,-0.191914,0.318437,-0.385926,0.037015,0.092488,-0.304413,0.576189,-0.329318,-0.512033,-0.585785,0.909161,-0.350307,-0.294604,0.580056,-0.398654
0.136952,0.120361,0.002216,0.161283,0.053466,-0.001437,0.437891,-0.004655,-0.053882,0.133067,0.062802,-0.902691,-0.718505,-0.398553,-0.190047,0.319104,-0.380230,0.035687,0.098476,-0.301207,0.586206,-0.343056,-0.536992,-0.564848,0.921947,-0.348242,-0.292377,0.607679,-0.404250
