joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-0.589196,-0.588801,-0.208811,-0.130029,-0.233681,-0.229736,-0.369031,-0.077742,1.422174,1.005841,1.307764,-2.298526,-2.036746,-0.515248,-0.918256,0.822006,-0.890496,0.181772,0.007284,0.881374,-0.449572,1.014558,0.163540,-1.284403,0.970223,-0.579190,-0.307238,-1.626014,1.541471
-0.395418,-0.415181,-0.127513,-0.076161,-0.163366,-0.174051,-0.201416,-0.055631,1.080210,0.708651,0.925694,-1.658779,-1.484111,-0.393865,-0.695127,0.612687,-0.683095,0.140974,-0.031332,0.752199,-0.336765,0.473206,-0.295973,-1.085421,0.809058,-0.428679,-0.275209,-1.043982,1.026568
-0.007861,-0.067940,0.035083,0.031575,-0.022737,-0.062682,0.133816,-0.011409,0.396283,0.114269,0.161553,-0.379286,-0.378840,-0.151100,-0.248867,0.194048,-0.268294,0.059379,-0.108562,0.493848,-0.111150,-0.609498,-1.214998,-0.687459,0.486727,-0.127658,-0.211150,0.120082,-0.003240
-0.017344,-0.004857,0.053455,0.023148,-0.032189,-0.045572,0.135043,-0.114586,0.292152,0.129283,0.049500,-0.216368,-0.185279,-0.212581,-0.193206,0.330624,-0.406703,0.063465,-0.154430,0.528290,-0.153233,-1.129613,-1.826059,-0.778209,0.842360,-0.195878,-0.388906,0.251174,-0.315318
-0.022086,0.026684,0.062641,0.018934,-0.036914,-0.037017,0.135656,-0.166174,0.240087,0.136790,-0.006526,-0.134909,-0.088499,-0.243322,-0.165376,0.398912,-0.475908,0.065508,-0.177363,0.545511,-0.174274,-1.389670,-2.131589,-0.823584,1.020176,-0.229988,-0.477784,0.316719,-0.471357
0.079605,0.139433,0.085586,0.024810,-0.076977,-0.110349,0.492470,-0.111487,0.403477,0.191029,-0.063960,-0.234032,-0.179516,-0.230453,-0.155408,0.628372,-0.864757,0.309923,-0.109911,0.974474,-0.409766,-2.970443,-4.369090,-1.724902,1.955157,-0.202583,-0.516715,1.335226,-1.273796
0.101396,0.174925,0.119688,0.020909,-0.095143,-0.099072,0.471537,-0.177499,0.350106,0.201416,-0.062648,-0.204831,-0.132574,-0.252090,-0.152076,0.647263,-0.832721,0.289303,-0.100330,1.100017,-0.529312,-3.451781,-4.678710,-2.030782,2.324888,-0.328920,-0.661460,1.462479,-1.413451
0.144978,0.245910,0.187890,0.013106,-0.131474,-0.076517,0.429671,-0.309523,0.243364,0.222190,-0.060025,-0.146429,-0.038690,-0.295366,-0.145414,0.685044,-0.768649,0.248064,-0.081166,1.351102,-0.768404,-4.414458,-5.297951,-2.642544,3.064350,-0.581592,-0.950950,1.716983,-1.692760
0.225529,0.274563,0.150127,-0.002975,-0.169408,-0.095710,0.507407,-0.311472,0.152664,0.174451,0.013007,-0.451644,-0.400050,-0.215216,-0.231816,0.676377,-0.635171,0.171987,0.145316,1.273452,-0.647814,-5.151261,-5.657550,-2.642613,2.994131,-0.776980,-0.938412,1.782655,-1.327562
0.265804,0.288890,0.131246,-0.011016,-0.188375,-0.105307,0.546275,-0.312446,0.107314,0.150582,0.049522,-0.604251,-0.580729,-0.175141,-0.275017,0.672043,-0.568433,0.133948,0.258558,1.234627,-0.587519,-5.519662,-5.837349,-2.642648,2.959022,-0.874674,-0.932142,1.815491,-1.144962
0.099749,0.257387,0.039827,0.011517,-0.158078,-0.139435,0.447606,-0.313351,0.045571,0.197034,-0.139628,-1.127326,-0.835926,-0.345146,-0.172578,0.698352,-0.475326,0.037281,0.359084,0.760685,-0.229833,-5.899445,-5.715230,-2.045910,3.202915,-1.238494,-1.004650,1.304230,-0.624640
-0.010769,0.277346,0.056425,0.046734,-0.122434,-0.135663,0.320453,-0.364719,-0.023959,0.317091,-0.216909,-1.352654,-1.099175,-0.324637,-0.108270,0.671061,-0.455093,-0.003031,0.410581,0.682406,-0.168588,-5.925055,-5.539789,-2.126881,3.181839,-1.492075,-1.222655,1.327057,-0.670974
-0.231805,0.317264,0.089621,0.117168,-0.051145,-0.128120,0.066147,-0.467456,-0.163020,0.557204,-0.371473,-1.803310,-1.625675,-0.283620,0.020345,0.616479,-0.414628,-0.083656,0.513573,0.525846,-0.046096,-5.976275,-5.188907,-2.288824,3.139687,-1.999236,-1.658664,1.372713,-0.763641
