body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
0.085414,0.075122,0.647354
0.074202,0.032538,0.455286
0.052040,-0.052447,0.071095
0.055135,-0.034324,0.124638
0.056662,-0.025276,0.151415
0.095440,-0.045238,0.208016
0.083697,-0.053126,0.289658
0.060171,-0.069108,0.452919
0.087391,-0.113127,0.506445
0.101082,-0.135091,0.533207
0.045758,-0.065295,0.572195
0.028470,-0.066710,0.665145
-0.006210,-0.069828,0.851045
0.012694,-0.060315,0.945884
0.022072,-0.055477,0.993330
0.014793,-0.077585,1.246795
0.033891,-0.073814,1.235985
0.072010,-0.065799,1.214497
0.056303,-0.075574,1.363009
0.048465,-0.080614,1.437316
0.039080,-0.116983,1.523621
0.024704,-0.093827,1.578250
-0.004877,-0.048013,1.687734
0.051105,-0.040198,1.631855
0.079042,-0.035823,1.604057
0.055604,-0.096677,1.520663
0.047380,-0.088896,1.516620
0.030710,-0.073592,1.508721
0.071319,-0.185775,1.398393
0.092511,-0.241546,1.343314
0.051543,-0.167228,1.184237
0.048199,-0.174741,1.087312
0.042014,-0.189753,0.893501
0.041133,-0.217154,0.843391
0.040864,-0.230852,0.818349
0.050814,-0.171411,0.672509
0.032087,-0.171619,0.638694
-0.005247,-0.172255,0.571013
0.012620,-0.210911,0.465521
0.021755,-0.230192,0.412795
-0.068949,-0.132966,0.274636
-0.085320,-0.132973,0.266433
-0.118041,-0.133089,0.249985
-0.075814,-0.119072,0.100938
-0.054619,-0.112098,0.026435
-0.016836,-0.065900,-0.148752
-0.048932,-0.063787,-0.218161
-0.113027,-0.059488,-0.357022
-0.022493,-0.116832,-0.305762
0.022656,-0.145637,-0.280074
-0.040511,-0.039932,-0.213580
-0.044816,-0.017804,-0.211247
-0.053333,0.026473,-0.206604
-0.063054,-0.017901,-0.159356
-0.067954,-0.040066,-0.135719
-0.113115,-0.072338,-0.063643
-0.100709,-0.074357,-0.049152
-0.075921,-0.078379,-0.020149
-0.064984,-0.014552,-0.098571
-0.059478,0.017330,-0.137802
-0.111923,-0.050416,-0.033280
-0.107319,-0.042299,-0.014804
-0.098126,-0.026027,0.022133
-0.050710,-0.038249,0.037199
-0.027002,-0.044347,0.044743
-0.006811,0.005113,0.049093
-0.003932,0.022996,0.013846
0.001806,0.058762,-0.056651
0.014735,0.028513,-0.039294
0.021196,0.013385,-0.030619
0.022808,0.009632,-0.045960
0.023763,0.005154,-0.051634
0.025669,-0.003800,-0.062984
0.010791,0.028397,-0.062062
0.003362,0.044501,-0.061597
0.070180,0.016441,-0.056352
0.074451,0.019568,-0.035534
0.083004,0.025787,0.006104
0.056506,0.040791,0.020577
0.043259,0.048287,0.027823
0.120885,0.028254,0.064740
0.094164,0.051511,0.085946
0.040706,0.097939,0.128429
-0.021415,0.101479,-0.039734
-0.052561,0.103244,-0.123784
-0.010385,0.070645,-0.024373
