body_0_vel_x,body_0_vel_y,body_0_vel_z
-0.057263,0.044088,-0.070767
-0.058437,0.034497,-0.037782
-0.060786,0.015316,0.028188
-0.052031,0.017277,-0.005268
-0.047654,0.018258,-0.021996
-0.045318,-0.000754,-0.025436
-0.042496,0.005667,-0.011067
-0.036850,0.018508,0.017672
-0.020449,0.005746,-0.014787
-0.012248,-0.000635,-0.031017
-0.068702,0.003193,0.004592
-0.060137,-0.003063,0.002466
-0.043008,-0.015576,-0.001785
-0.064025,0.012870,-0.015389
-0.074534,0.027093,-0.022191
-0.058607,-0.027726,-0.026339
-0.062429,-0.007666,-0.009072
-0.070072,0.032455,0.025463
-0.057027,0.005468,-0.022199
-0.050504,-0.008025,-0.046030
-0.029258,0.038091,0.046220
-0.021299,0.024985,0.023253
-0.005382,-0.001226,-0.022681
0.000749,0.026912,-0.007215
0.003814,0.040982,0.000519
0.031180,-0.006816,0.025826
0.029423,-0.010513,0.006524
0.025909,-0.017906,-0.032081
0.055746,0.013446,-0.007799
0.070665,0.029121,0.004342
0.055022,-0.030608,-0.008481
0.064169,-0.015258,-0.015389
0.082462,0.015443,-0.029204
0.086440,-0.034862,-0.020505
0.088430,-0.060015,-0.016156
0.061111,0.012738,-0.021839
0.062291,-0.004659,-0.022728
0.064650,-0.039454,-0.024506
0.031519,-0.008788,-0.023316
0.014953,0.006545,-0.022720
0.069924,-0.030829,-0.023561
0.040309,-0.034738,-0.027893
-0.018921,-0.042556,-0.036559
0.011805,-0.007215,-0.004508
0.027168,0.010455,0.011517
-0.049781,-0.024431,-0.027407
-0.052049,-0.012092,0.004687
-0.056583,0.012587,0.068874
-0.074043,0.009193,0.060641
-0.082772,0.007497,0.056525
-0.225845,0.003194,0.042678
-0.200912,0.005572,0.064954
-0.151047,0.010329,0.109506
-0.253303,-0.003763,0.062165
-0.304431,-0.010809,0.038495
-0.205109,0.022369,0.078464
-0.214880,0.008799,0.053336
-0.234422,-0.018342,0.003081
-0.181272,0.008071,0.042204
-0.154697,0.021277,0.061766
-0.134555,-0.021743,-0.017295
-0.132433,-0.011877,0.004786
-0.128188,0.007854,0.048947
-0.080480,-0.001966,0.014618
-0.056626,-0.006876,-0.002546
-0.118818,0.001726,0.021433
-0.074444,0.002671,0.017416
0.014303,0.004562,0.009384
-0.051402,0.000581,0.030782
-0.084254,-0.001409,0.041481
0.016100,-0.001656,0.004567
0.009180,0.002242,0.010048
-0.004660,0.010039,0.021009
-0.040589,-0.006729,0.001904
-0.058554,-0.015112,-0.007648
0.031059,0.012015,0.010334
-0.007542,0.005943,-0.010754
-0.084743,-0.006202,-0.052931
