body_0_x,body_0_y,body_0_z
0.000000,0.000000,0.763604
-0.001145,0.000882,0.762189
-0.002314,0.001572,0.761433
-0.003530,0.001878,0.761997
-0.004570,0.002224,0.761891
-0.005523,0.002589,0.761451
-0.006430,0.002574,0.760943
-0.007280,0.002687,0.760721
-0.008017,0.003057,0.761075
-0.008426,0.003172,0.760779
-0.008671,0.003159,0.760159
-0.010045,0.003223,0.760251
-0.011247,0.003162,0.760300
-0.012108,0.002850,0.760264
-0.013388,0.003108,0.759956
-0.014879,0.003650,0.759513
-0.016051,0.003095,0.758986
-0.017300,0.002942,0.758804
-0.018701,0.003591,0.759314
-0.019841,0.003700,0.758870
-0.020852,0.003540,0.757949
-0.021437,0.004302,0.758874
-0.021863,0.004801,0.759339
-0.021970,0.004777,0.758885
-0.021955,0.005315,0.758741
-0.021879,0.006135,0.758751
-0.021256,0.005998,0.759268
-0.020667,0.005788,0.759398
-0.020149,0.005430,0.758756
-0.019034,0.005699,0.758600
-0.017621,0.006281,0.758687
-0.016520,0.005669,0.758518
-0.015237,0.005364,0.758210
-0.013588,0.005673,0.757626
-0.011859,0.004976,0.757216
-0.010090,0.003775,0.756893
-0.008868,0.004030,0.756456
-0.007622,0.003937,0.756001
-0.006329,0.003148,0.755511
-0.005699,0.002972,0.755045
-0.005400,0.003103,0.754590
-0.004001,0.002486,0.754119
-0.003195,0.001792,0.753561
-0.003573,0.000941,0.752830
-0.003337,0.000796,0.752740
-0.002794,0.001005,0.752970
-0.003790,0.000517,0.752422
-0.004831,0.000275,0.752516
-0.005962,0.000527,0.753893
-0.007443,0.000710,0.755106
-0.009099,0.000860,0.756237
-0.013615,0.000924,0.757090
-0.017634,0.001036,0.758389
-0.020655,0.001242,0.760579
-0.025721,0.001167,0.761823
-0.031809,0.000951,0.762593
-0.035911,0.001398,0.764162
-0.040209,0.001574,0.765229
-0.044897,0.001207,0.765290
-0.048523,0.001369,0.766134
-0.051617,0.001794,0.767370
-0.054308,0.001359,0.767024
-0.056957,0.001122,0.767120
-0.059520,0.001279,0.768098
-0.061130,0.001240,0.768391
-0.062262,0.001102,0.768340
-0.064639,0.001137,0.768769
-0.066128,0.001190,0.769117
-0.065842,0.001281,0.769305
-0.066870,0.001293,0.769920
-0.068555,0.001265,0.770750
-0.068233,0.001232,0.770841
-0.068049,0.001277,0.771042
-0.068142,0.001477,0.771462
-0.068954,0.001343,0.771500
-0.070125,0.001040,0.771347
-0.069504,0.001281,0.771554
-0.069655,0.001400,0.771339
-0.071350,0.001276,0.770280
-0.073018,0.001070,0.769707
-0.074672,0.000823,0.769377
-0.076647,0.001384,0.767791
-0.078865,0.001877,0.766329
-0.081569,0.002233,0.765114
-0.084709,0.002601,0.763689
-0.088067,0.002975,0.762160
-0.090257,0.004242,0.760282
-0.093044,0.005139,0.758675
-0.097023,0.005295,0.757610
-0.100128,0.006090,0.756512
-0.102795,0.007205,0.755397
-0.106776,0.007738,0.754955
-0.110004,0.008251,0.754578
-0.111726,0.008726,0.754331
-0.114671,0.009244,0.754545
-0.118228,0.009785,0.754990
-0.119827,0.009575,0.755020
-0.122150,0.009762,0.755155
-0.125923,0.010744,0.755501
-0.129083,0.010604,0.756018
-0.131937,0.009903,0.756620
-0.136211,0.010270,0.756004
-0.140383,0.010268,0.755893
-0.144353,0.009528,0.756793
-0.148825,0.009231,0.756601
-0.153548,0.009155,0.755862
-0.158868,0.008259,0.756601
-0.163930,0.007485,0.756918
-0.168478,0.006956,0.756390
-0.173518,0.006028,0.756893
-0.178805,0.004901,0.757910
-0.183445,0.004027,0.757197
-0.187954,0.003025,0.757310
-0.192202,0.001765,0.759077
-0.196453,0.000889,0.760100
-0.200705,0.000205,0.760752
-0.204570,-0.001216,0.763095
-0.208094,-0.002643,0.765133
-0.210936,-0.004084,0.766564
-0.213490,-0.005079,0.768154
-0.215900,-0.005850,0.769825
-0.218263,-0.006960,0.772516
-0.220176,-0.007966,0.774774
-0.221192,-0.008765,0.776167
-0.221771,-0.008981,0.778645
-0.222132,-0.008904,0.781665
-0.223339,-0.010017,0.782904
-0.224159,-0.010887,0.784461
-0.224208,-0.011272,0.786651
-0.224114,-0.012274,0.788670
-0.223949,-0.013586,0.790604
-0.225757,-0.014367,0.791229
-0.227475,-0.015482,0.792195
-0.229016,-0.017266,0.793844
-0.231389,-0.018440,0.794318
-0.234179,-0.019308,0.794205
-0.236828,-0.021107,0.795339
-0.239847,-0.022283,0.795752
-0.243606,-0.022216,0.794723
-0.247032,-0.022936,0.794487
-0.250293,-0.024051,0.794648
-0.254217,-0.023516,0.794400
-0.258083,-0.023234,0.793966
-0.261834,-0.023454,0.793160
-0.265534,-0.023977,0.792582
-0.269209,-0.024652,0.792118
-0.272527,-0.023669,0.790823
-0.275466,-0.023210,0.789807
-0.277648,-0.023798,0.789347
-0.279952,-0.022888,0.788793
-0.282317,-0.021229,0.788192
-0.284287,-0.020768,0.788362
-0.285988,-0.019867,0.788226
-0.287147,-0.018087,0.787481
-0.289103,-0.016815,0.787238
-0.291457,-0.015798,0.787247
-0.292248,-0.014737,0.787285
-0.293331,-0.013647,0.787079
-0.294995,-0.012500,0.786386
