body_0_w,body_0_x,body_0_y,body_0_z
0.998356,-0.012108,-0.056015,-0.000679
0.998392,-0.010893,-0.055342,0.005745
0.998381,-0.009899,-0.055070,0.010253
0.998349,-0.009345,-0.055606,0.010929
0.998321,-0.008729,-0.055966,0.012139
0.998292,-0.008082,-0.056239,0.013617
0.998243,-0.007018,-0.056720,0.015636
0.998169,-0.006027,-0.057283,0.018476
0.998038,-0.005179,-0.058011,0.022958
0.997847,-0.004039,-0.059186,0.027956
0.997607,-0.002753,-0.060582,0.033211
0.997362,-0.001971,-0.061264,0.038889
0.997040,-0.001306,-0.061952,0.045503
0.996574,-0.000872,-0.062654,0.053990
0.995980,-0.000186,-0.063268,0.063405
0.995266,0.000628,-0.063833,0.073282
0.994225,0.001514,-0.064603,0.085676
0.993042,0.002586,-0.065342,0.097937
0.991734,0.004030,-0.066030,0.109945
0.990091,0.005405,-0.066780,0.123418
0.988157,0.006744,-0.067554,0.137608
0.985864,0.007998,-0.068653,0.152629
0.983265,0.009181,-0.069481,0.168160
0.980254,0.010224,-0.069780,0.184738
0.977075,0.011788,-0.070092,0.200679
0.973696,0.013611,-0.070402,0.216274
0.970218,0.015012,-0.071249,0.231030
0.966532,0.016345,-0.071985,0.245697
0.962657,0.017546,-0.072517,0.260241
0.958774,0.018761,-0.074238,0.273658
0.954812,0.019982,-0.076548,0.286488
0.951212,0.020901,-0.078051,0.297769
0.947770,0.021686,-0.079624,0.308093
0.944818,0.022210,-0.081355,0.316556
0.941926,0.022597,-0.083347,0.324527
0.939035,0.022914,-0.085466,0.332242
0.936619,0.023396,-0.087088,0.338544
0.934280,0.023671,-0.088653,0.344531
0.932144,0.023534,-0.090107,0.349906
0.930310,0.023333,-0.092007,0.354279
0.928620,0.023099,-0.094128,0.358149
0.927523,0.022241,-0.095052,0.360793
0.926450,0.021223,-0.095918,0.363373
0.925435,0.019886,-0.096668,0.365829
0.924964,0.018846,-0.097472,0.366859
0.924767,0.017955,-0.098304,0.367178
0.925250,0.017411,-0.098878,0.365830
0.925991,0.016510,-0.099327,0.363870
0.927243,0.014892,-0.099525,0.360684
0.928228,0.013957,-0.100572,0.357886
0.929076,0.013365,-0.102043,0.355282
0.929798,0.012629,-0.102299,0.353344
0.930529,0.011933,-0.102332,0.351427
0.931287,0.011318,-0.101923,0.349555
0.931831,0.010506,-0.101887,0.348137
0.932269,0.009595,-0.102038,0.346945
0.932426,0.008224,-0.102326,0.346474
0.932527,0.006977,-0.102674,0.346124
0.932521,0.005977,-0.103144,0.346019
0.932851,0.005219,-0.103061,0.345168
0.933346,0.004582,-0.102701,0.343942
0.933413,0.003330,-0.102788,0.343749
0.933424,0.002168,-0.102814,0.343722
0.933322,0.001185,-0.102719,0.344030
0.933156,0.000619,-0.102901,0.344430
0.932956,0.000260,-0.103222,0.344875
0.932792,0.000265,-0.103151,0.345340
0.932767,0.000322,-0.102922,0.345473
0.933023,0.000483,-0.102381,0.344943
0.933188,0.000679,-0.102166,0.344561
0.933307,0.000891,-0.102114,0.344253
0.933475,0.001091,-0.102103,0.343801
0.933657,0.001277,-0.102137,0.343295
0.933869,0.001440,-0.102261,0.342680
0.934110,0.001574,-0.102034,0.342089
0.934366,0.001695,-0.101631,0.341509
0.934573,0.002350,-0.101718,0.340911
0.934712,0.003076,-0.101790,0.340503
0.934715,0.003946,-0.101831,0.340474
0.934684,0.004634,-0.101641,0.340608
0.934636,0.005231,-0.101336,0.340821
0.934437,0.006523,-0.101480,0.341302
0.934189,0.007666,-0.101315,0.342006
0.933844,0.008511,-0.100529,0.343156
0.934084,0.008619,-0.099511,0.342798
0.934614,0.008359,-0.098377,0.341685
0.934768,0.008479,-0.097683,0.341461
0.934887,0.008480,-0.096708,0.341412
0.934937,0.008242,-0.095170,0.341713
0.934871,0.008227,-0.094518,0.342073
0.934749,0.008324,-0.094309,0.342463
0.934560,0.007419,-0.093875,0.343117
0.934509,0.006529,-0.093019,0.343508
0.934732,0.005668,-0.091319,0.343373
0.935080,0.004801,-0.089744,0.342853
0.935489,0.003932,-0.088230,0.342141
0.935626,0.003326,-0.087913,0.341855
0.936052,0.002758,-0.087395,0.340824
0.937054,0.002266,-0.086476,0.338300
0.938432,0.002452,-0.085828,0.334622
0.939986,0.002979,-0.085315,0.330363
0.941463,0.003570,-0.085416,0.326097
0.943022,0.004295,-0.085447,0.321543
0.944758,0.005288,-0.085341,0.316420
0.946637,0.006392,-0.085622,0.310655
0.948564,0.007550,-0.086093,0.304562
0.950291,0.008323,-0.086012,0.299131
0.952041,0.008986,-0.085956,0.293511
0.953864,0.009430,-0.085952,0.287519
0.955520,0.009687,-0.085747,0.282020
0.957081,0.009852,-0.085440,0.276764
0.958657,0.009815,-0.085524,0.271232
0.960210,0.009618,-0.085374,0.265736
0.961752,0.009100,-0.084760,0.260319
0.963351,0.008419,-0.083926,0.254638
0.964958,0.007655,-0.082980,0.248820
0.966533,0.006953,-0.082222,0.242908
0.968080,0.006113,-0.081386,0.236981
0.969605,0.005000,-0.080397,0.231034
0.970880,0.003847,-0.079964,0.225792
0.972021,0.002676,-0.079809,0.220902
0.973259,0.001531,-0.080012,0.215319
0.974540,0.000495,-0.080163,0.209395
0.975930,-0.000324,-0.080215,0.202794
0.977052,-0.001342,-0.080718,0.197107
0.978031,-0.002460,-0.081445,0.191877
0.979073,-0.003435,-0.081376,0.186499
0.980367,-0.004140,-0.081054,0.179705
0.982151,-0.004309,-0.080227,0.170075
0.983714,-0.004636,-0.079564,0.161108
0.985135,-0.005042,-0.078981,0.152467
0.985935,-0.005608,-0.079082,0.147130
0.986773,-0.006207,-0.079619,0.141069
0.987698,-0.006871,-0.081030,0.133561
0.988353,-0.007437,-0.082303,0.127784
0.988871,-0.007953,-0.083507,0.122872
0.989424,-0.008493,-0.084935,0.117282
0.989920,-0.009004,-0.086653,0.111661
0.990336,-0.009462,-0.088954,0.105982
0.990757,-0.009569,-0.090771,0.100344
0.991166,-0.009502,-0.092344,0.094723
0.991516,-0.009562,-0.094071,0.089196
0.991834,-0.009612,-0.095624,0.083838
0.992128,-0.009642,-0.096829,0.078821
0.992414,-0.009302,-0.097914,0.073768
0.992681,-0.008776,-0.098936,0.068696
0.992823,-0.008202,-0.099956,0.065148
0.992979,-0.007779,-0.101159,0.060826
0.993161,-0.007659,-0.102727,0.054956
0.993283,-0.007947,-0.104106,0.049878
0.993368,-0.008440,-0.105390,0.045194
0.993514,-0.008778,-0.106089,0.039968
0.993633,-0.009056,-0.106777,0.034782
0.993725,-0.009211,-0.107447,0.029676
0.993799,-0.009651,-0.107700,0.025914
0.993864,-0.010233,-0.107744,0.022824
0.993964,-0.010628,-0.107545,0.018867
0.994050,-0.011045,-0.107321,0.014984
0.994123,-0.011506,-0.107050,0.011252
0.994203,-0.011692,-0.106696,0.006324
0.994265,-0.011741,-0.106299,0.000797
0.994404,-0.011292,-0.104994,-0.002944
0.994532,-0.010839,-0.103685,-0.006114
0.994659,-0.010382,-0.102373,-0.008139
0.994811,-0.009586,-0.100730,-0.010601
0.994969,-0.008621,-0.098922,-0.013282
0.995095,-0.007819,-0.097664,-0.013695
0.995219,-0.006989,-0.096327,-0.014554
0.995341,-0.006105,-0.094834,-0.016305
0.995444,-0.005364,-0.093431,-0.018245
0.995535,-0.004696,-0.092072,-0.020280
0.995652,-0.004643,-0.090240,-0.022611
0.995771,-0.004479,-0.088298,-0.024984
0.995897,-0.004091,-0.086137,-0.027439
0.995984,-0.003670,-0.084599,-0.029066
0.996053,-0.003231,-0.083373,-0.030279
0.996066,-0.002311,-0.082757,-0.031592
0.996076,-0.001384,-0.082222,-0.032711
0.996083,-0.000439,-0.081852,-0.033443
0.996077,0.000628,-0.081577,-0.034287
0.996063,0.001756,-0.081351,-0.035186
0.996011,0.003139,-0.081504,-0.036175
0.995951,0.004538,-0.081603,-0.037448
0.995873,0.005968,-0.081590,-0.039288
0.995785,0.007176,-0.081377,-0.041689
0.995687,0.008273,-0.081062,-0.044370
0.995491,0.008856,-0.080291,-0.049723
0.995278,0.009382,-0.079533,-0.054840
0.995065,0.009796,-0.078804,-0.059487
0.994771,0.009301,-0.078661,-0.064469
0.994421,0.008352,-0.078811,-0.069617
0.993951,0.007244,-0.078776,-0.076181
0.993478,0.005792,-0.078973,-0.082046
0.993055,0.003650,-0.079638,-0.086518
0.992607,0.001331,-0.080540,-0.090786
0.992135,-0.001077,-0.081560,-0.094951
0.991793,-0.004322,-0.081982,-0.098017
0.991454,-0.007391,-0.082359,-0.100900
0.991146,-0.010107,-0.082650,-0.103421
0.990787,-0.012760,-0.082490,-0.106645
0.990391,-0.015381,-0.082103,-0.110220
0.990052,-0.017279,-0.081982,-0.113042
0.989712,-0.018954,-0.081833,-0.115817
0.989387,-0.020182,-0.081630,-0.118498
0.989053,-0.021319,-0.081503,-0.121150
0.988710,-0.022411,-0.081413,-0.123786
0.988352,-0.023139,-0.080803,-0.126866
0.988030,-0.023888,-0.080246,-0.129561
0.987793,-0.024677,-0.079794,-0.131490
0.987522,-0.025394,-0.079385,-0.133614
0.987233,-0.026076,-0.078997,-0.135834
0.986965,-0.027141,-0.078603,-0.137784
0.986705,-0.028122,-0.078318,-0.139602
0.986465,-0.028932,-0.078250,-0.141160
0.986187,-0.029605,-0.077874,-0.143158
0.985886,-0.030211,-0.077344,-0.145377
0.985642,-0.030963,-0.077338,-0.146867
0.985406,-0.031802,-0.077242,-0.148312
