joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.238351,0.067321,-0.097287,0.099410,0.051259,0.023601,0.323690,0.066874,0.016327,0.036095,0.152299,0.112534,0.204087,-0.333131,-0.288189,0.216202,-0.337004,0.065110,-0.146038,-0.427763,0.482328,1.230517,0.632625,0.016017,0.238240,0.050647,-0.037887,0.058818,-0.022149
0.210390,0.061333,-0.103778,0.096610,0.047297,0.022239,0.305716,0.064136,0.037459,0.086895,0.163763,0.055509,0.168994,-0.365563,-0.302427,0.227283,-0.366720,0.068231,-0.145207,-0.431934,0.471893,1.284481,0.632174,0.009127,0.274835,0.005287,-0.058716,0.027223,0.003116
0.190306,0.055869,-0.108637,0.094823,0.044889,0.021104,0.293960,0.064914,0.055112,0.123842,0.173233,0.012650,0.141933,-0.388973,-0.313741,0.233627,-0.389414,0.070543,-0.145525,-0.435148,0.464000,1.321561,0.621626,0.006056,0.298529,-0.026982,-0.075455,0.006634,0.019133
0.185978,0.051454,-0.110230,0.095062,0.045588,0.020420,0.294642,0.072724,0.065806,0.133085,0.178718,-0.001878,0.130935,-0.394338,-0.319208,0.230498,-0.398066,0.071237,-0.148141,-0.436448,0.461189,1.324874,0.590881,0.010621,0.296421,-0.033070,-0.084013,0.008054,0.016654
0.183154,0.047834,-0.112559,0.092818,0.045893,0.019281,0.293786,0.080461,0.073571,0.136763,0.183344,-0.013674,0.122127,-0.396762,-0.321314,0.227928,-0.408294,0.071196,-0.149388,-0.441767,0.462089,1.323622,0.555960,0.021533,0.291006,-0.036661,-0.090782,0.007728,0.016731
0.181081,0.044612,-0.115256,0.089332,0.046000,0.017914,0.292162,0.088161,0.079871,0.137660,0.187541,-0.024104,0.114415,-0.397714,-0.321739,0.225639,-0.419312,0.070787,-0.149951,-0.449096,0.464844,1.320088,0.518950,0.035618,0.283937,-0.039003,-0.096657,0.006530,0.018087
0.182384,0.042088,-0.116920,0.085086,0.045598,0.015300,0.291807,0.094449,0.083271,0.136737,0.192147,-0.031921,0.106258,-0.397502,-0.323745,0.222270,-0.430160,0.071443,-0.151356,-0.458711,0.469959,1.315016,0.476405,0.050843,0.275653,-0.038974,-0.101282,0.010516,0.011204
0.183993,0.039851,-0.118451,0.081109,0.045251,0.012694,0.291853,0.100085,0.086050,0.135833,0.196752,-0.039763,0.097630,-0.397193,-0.326243,0.218748,-0.441084,0.072222,-0.153214,-0.469738,0.476658,1.308647,0.433154,0.066332,0.267393,-0.039326,-0.105319,0.014058,0.007728
0.186217,0.038189,-0.119719,0.077668,0.045015,0.010102,0.292701,0.104419,0.087590,0.134967,0.201354,-0.047651,0.088062,-0.396689,-0.329724,0.214922,-0.452158,0.073248,-0.155982,-0.483590,0.486527,1.299683,0.388490,0.082352,0.259182,-0.040440,-0.108177,0.016713,0.011069
0.189586,0.036797,-0.119469,0.074450,0.044699,0.007127,0.295989,0.109848,0.088556,0.135082,0.205868,-0.055696,0.075935,-0.394584,-0.333851,0.210017,-0.461297,0.074143,-0.159327,-0.498568,0.498777,1.289825,0.345465,0.096586,0.253602,-0.041450,-0.109456,0.019120,0.013271
0.193529,0.035540,-0.118461,0.071343,0.044342,0.003961,0.300497,0.115825,0.089235,0.135688,0.210339,-0.063819,0.062528,-0.391678,-0.338301,0.204573,-0.469469,0.074973,-0.162962,-0.514109,0.512217,1.279521,0.303260,0.109927,0.249338,-0.042406,-0.109946,0.021403,0.014905
0.196378,0.032922,-0.116709,0.068845,0.042124,0.001442,0.303752,0.111100,0.089498,0.134660,0.214204,-0.072405,0.049334,-0.392744,-0.341199,0.199763,-0.477499,0.075371,-0.163156,-0.529377,0.529420,1.270010,0.252201,0.118161,0.273586,-0.043504,-0.114267,0.022730,0.020749
0.198346,0.030252,-0.113861,0.066915,0.040136,-0.001126,0.306388,0.104895,0.089183,0.134591,0.217350,-0.080451,0.035132,-0.393968,-0.343691,0.194921,-0.485170,0.075571,-0.162842,-0.543198,0.547012,1.260812,0.199688,0.124640,0.299411,-0.044847,-0.118484,0.021752,0.028296
0.198550,0.027478,-0.108821,0.066121,0.038606,-0.003792,0.307786,0.095728,0.087713,0.136441,0.219056,-0.087421,0.018914,-0.395510,-0.345370,0.190014,-0.492123,0.075376,-0.161510,-0.554125,0.565384,1.252241,0.144267,0.127607,0.328391,-0.046683,-0.122489,0.016161,0.039250
0.199542,0.024820,-0.102306,0.065234,0.035890,-0.005956,0.312619,0.087242,0.085550,0.138213,0.219240,-0.093435,-0.000183,-0.397243,-0.344633,0.185461,-0.496454,0.077023,-0.160855,-0.565135,0.584568,1.244961,0.084578,0.132627,0.361271,-0.045885,-0.122960,0.007826,0.052181
0.200928,0.022220,-0.095052,0.064300,0.032582,-0.007869,0.319169,0.079095,0.083040,0.139945,0.218663,-0.098970,-0.020721,-0.399071,-0.342688,0.181084,-0.499473,0.079591,-0.160538,-0.576186,0.604159,1.238328,0.022755,0.138673,0.396102,-0.043769,-0.121663,-0.001882,0.066101
0.201452,0.020261,-0.085595,0.062001,0.028305,-0.008619,0.321925,0.065819,0.078934,0.141292,0.220345,-0.101323,-0.050406,-0.402115,-0.336570,0.177752,-0.497636,0.081483,-0.157266,-0.589519,0.626022,1.232024,-0.043558,0.151239,0.438383,-0.039110,-0.115581,-0.015995,0.092816
0.202169,0.019154,-0.075228,0.059635,0.023382,-0.009805,0.325023,0.052611,0.074936,0.142756,0.220746,-0.102900,-0.080790,-0.405221,-0.331541,0.174522,-0.494164,0.083620,-0.153273,-0.601172,0.647201,1.225595,-0.108494,0.163350,0.480655,-0.034611,-0.108476,-0.029270,0.117216
0.203271,0.019749,-0.063039,0.057135,0.017168,-0.011865,0.328801,0.039539,0.071151,0.144453,0.218582,-0.102925,-0.112573,-0.408453,-0.328687,0.171494,-0.487421,0.086246,-0.147840,-0.609465,0.667012,1.218916,-0.170677,0.174552,0.522911,-0.030429,-0.099325,-0.040871,0.136985
0.204135,0.020754,-0.049492,0.055442,0.009342,-0.013681,0.331058,0.021068,0.066660,0.147071,0.216923,-0.101687,-0.148312,-0.412849,-0.324143,0.168843,-0.477630,0.088310,-0.140962,-0.618498,0.688228,1.214555,-0.225483,0.184767,0.555360,-0.026283,-0.089009,-0.054090,0.154279
0.204880,0.021964,-0.035265,0.054153,0.000709,-0.015376,0.332555,-0.000104,0.061816,0.150150,0.215516,-0.099818,-0.186029,-0.417827,-0.318753,0.166381,-0.466313,0.090093,-0.133363,-0.627902,0.710148,1.211353,-0.276600,0.194489,0.582906,-0.022156,-0.078110,-0.068118,0.170335
0.205914,0.025174,-0.019432,0.053153,-0.008489,-0.017154,0.329268,-0.024307,0.057484,0.156764,0.215141,-0.094783,-0.229859,-0.423861,-0.316022,0.164832,-0.452809,0.091245,-0.126264,-0.634216,0.729910,1.208402,-0.319228,0.201496,0.598807,-0.018445,-0.068188,-0.076697,0.185834
0.206313,0.028280,-0.003195,0.052301,-0.017785,-0.019259,0.325077,-0.049951,0.052455,0.163686,0.214582,-0.089176,-0.275827,-0.430624,-0.313268,0.164051,-0.439605,0.091444,-0.117523,-0.639356,0.749583,1.205915,-0.359428,0.207184,0.614482,-0.015242,-0.059793,-0.085201,0.197614
0.205442,0.031177,0.013852,0.051746,-0.027280,-0.022019,0.319081,-0.078476,0.046033,0.171222,0.213655,-0.082422,-0.326071,-0.438847,-0.310466,0.164808,-0.427001,0.089740,-0.105496,-0.642149,0.769078,1.204356,-0.394774,0.210235,0.629703,-0.013054,-0.054452,-0.093555,0.201959
0.204336,0.035667,0.030508,0.049870,-0.037122,-0.025925,0.310039,-0.107988,0.041418,0.179040,0.211847,-0.075215,-0.372244,-0.445708,-0.312488,0.167030,-0.416526,0.086973,-0.096962,-0.636823,0.784332,1.206885,-0.416205,0.209243,0.642762,-0.010342,-0.049267,-0.098043,0.202485
0.203113,0.040954,0.046968,0.047334,-0.047137,-0.030405,0.299475,-0.137993,0.037707,0.186999,0.209598,-0.067782,-0.416381,-0.451890,-0.316922,0.169984,-0.407115,0.083675,-0.090175,-0.627438,0.797466,1.211456,-0.430678,0.206231,0.654741,-0.007368,-0.044159,-0.100600,0.201102
0.203346,0.046427,0.060521,0.046485,-0.053887,-0.033078,0.286250,-0.161372,0.035884,0.198875,0.208768,-0.056589,-0.462122,-0.455982,-0.322213,0.173333,-0.397922,0.082138,-0.084591,-0.612225,0.801321,1.213620,-0.438856,0.196710,0.649466,-0.007110,-0.047575,-0.093222,0.188110
0.202886,0.051571,0.073589,0.046425,-0.059817,-0.036339,0.273208,-0.184218,0.034382,0.211660,0.208154,-0.045914,-0.506108,-0.460804,-0.327682,0.178012,-0.391397,0.079932,-0.080318,-0.595113,0.805394,1.216955,-0.445701,0.184535,0.646083,-0.006254,-0.051491,-0.086965,0.174642
0.201042,0.056054,0.085687,0.047942,-0.064107,-0.040779,0.260533,-0.205996,0.033523,0.226267,0.207972,-0.036277,-0.546586,-0.467086,-0.333509,0.185352,-0.390209,0.076391,-0.078667,-0.574203,0.809902,1.222633,-0.449879,0.167054,0.646484,-0.004200,-0.056405,-0.082950,0.160225
0.200236,0.062403,0.096697,0.049411,-0.067417,-0.042938,0.242636,-0.226549,0.034510,0.243020,0.208506,-0.025117,-0.585529,-0.473255,-0.340551,0.192926,-0.389002,0.074753,-0.079775,-0.550505,0.809583,1.227377,-0.452879,0.148203,0.639528,-0.002294,-0.062386,-0.077975,0.149065
0.199949,0.069685,0.107162,0.050854,-0.070235,-0.043955,0.222127,-0.246489,0.036422,0.260845,0.209398,-0.013195,-0.623704,-0.479368,-0.348201,0.200616,-0.387786,0.074068,-0.082262,-0.525414,0.806850,1.231655,-0.455290,0.128668,0.628893,-0.000462,-0.068899,-0.072521,0.139534
0.200056,0.074865,0.114273,0.052617,-0.072123,-0.045339,0.206172,-0.262723,0.037607,0.274546,0.214811,-0.002198,-0.661310,-0.483158,-0.354401,0.209125,-0.389385,0.072800,-0.083211,-0.502500,0.802375,1.235317,-0.460725,0.115904,0.623231,0.003366,-0.073309,-0.071768,0.134725
0.200150,0.079561,0.120789,0.055070,-0.073245,-0.046418,0.190664,-0.277295,0.039107,0.287658,0.221379,0.008600,-0.697869,-0.486078,-0.361795,0.218099,-0.391681,0.071628,-0.085334,-0.480059,0.797659,1.239276,-0.463590,0.104202,0.618699,0.008379,-0.077544,-0.071664,0.127240
0.200222,0.083288,0.126116,0.058904,-0.072835,-0.046887,0.176050,-0.288544,0.041236,0.299592,0.230258,0.018997,-0.732336,-0.487257,-0.371578,0.228005,-0.395372,0.070648,-0.089804,-0.458562,0.792463,1.243831,-0.461315,0.094625,0.616430,0.015764,-0.081429,-0.072858,0.114404
0.200342,0.086899,0.131688,0.064864,-0.072210,-0.047091,0.163803,-0.300067,0.043611,0.313404,0.238876,0.029063,-0.766182,-0.488770,-0.382256,0.237106,-0.398898,0.071657,-0.096268,-0.438894,0.788049,1.250634,-0.456495,0.087204,0.607448,0.024173,-0.081560,-0.070978,0.106880
0.200487,0.090452,0.137382,0.071887,-0.071477,-0.047162,0.152740,-0.311728,0.046109,0.328154,0.247363,0.038963,-0.799717,-0.490450,-0.393381,0.245804,-0.402341,0.073660,-0.103729,-0.420142,0.784026,1.258561,-0.450404,0.080863,0.595108,0.033093,-0.079814,-0.067561,0.102011
0.202691,0.093762,0.141474,0.077143,-0.071756,-0.047737,0.141315,-0.322381,0.048658,0.337289,0.252820,0.050743,-0.833628,-0.488781,-0.402554,0.255300,-0.408030,0.071781,-0.108419,-0.404982,0.781252,1.262856,-0.437177,0.077856,0.578646,0.038995,-0.078166,-0.067157,0.096104
0.204515,0.096281,0.144755,0.082452,-0.071005,-0.048083,0.129519,-0.329901,0.050645,0.346468,0.258346,0.062629,-0.868343,-0.487239,-0.410756,0.264437,-0.413358,0.070558,-0.112854,-0.392183,0.778882,1.266819,-0.423152,0.077035,0.559894,0.044684,-0.076409,-0.067086,0.090721
0.205580,0.097221,0.146413,0.087868,-0.068192,-0.047970,0.116979,-0.331153,0.051508,0.355732,0.264009,0.074728,-0.904667,-0.485951,-0.417019,0.272854,-0.417964,0.070647,-0.116782,-0.384103,0.777321,1.270118,-0.407530,0.080587,0.536564,0.049951,-0.074438,-0.067680,0.086388
0.205587,0.098905,0.146626,0.093989,-0.064914,-0.046815,0.103834,-0.332715,0.054134,0.366775,0.269265,0.086175,-0.936787,-0.485369,-0.425418,0.281042,-0.421323,0.071432,-0.121717,-0.378803,0.775920,1.272392,-0.383433,0.085818,0.512079,0.055504,-0.071878,-0.071814,0.077728
0.205065,0.100960,0.146115,0.100463,-0.061403,-0.045138,0.090387,-0.334432,0.057642,0.378707,0.274316,0.097295,-0.966804,-0.485139,-0.434883,0.289117,-0.424058,0.072564,-0.127155,-0.374892,0.774600,1.274153,-0.355098,0.091889,0.487018,0.061202,-0.069024,-0.077718,0.066905
0.202046,0.099854,0.143272,0.108386,-0.057837,-0.042589,0.081041,-0.336500,0.060611,0.389974,0.278763,0.108718,-0.992325,-0.488582,-0.443360,0.293043,-0.425838,0.073096,-0.131249,-0.374156,0.769007,1.273916,-0.330256,0.096905,0.462150,0.066053,-0.068973,-0.086807,0.052944
0.199487,0.098582,0.138670,0.116377,-0.053543,-0.039869,0.069753,-0.337512,0.065547,0.399888,0.282290,0.119488,-1.015199,-0.489763,-0.450145,0.296954,-0.431076,0.075536,-0.136508,-0.371759,0.759266,1.272025,-0.305948,0.099654,0.431953,0.069315,-0.070165,-0.094874,0.038112
0.197849,0.096981,0.130551,0.124505,-0.047794,-0.036806,0.054580,-0.336412,0.074417,0.407101,0.283974,0.128951,-1.032778,-0.486422,-0.453547,0.300833,-0.443226,0.081792,-0.144097,-0.366040,0.741228,1.266827,-0.282709,0.097866,0.391097,0.069397,-0.073843,-0.100895,0.021539
0.196328,0.095441,0.121899,0.130891,-0.044661,-0.032480,0.042422,-0.335926,0.079548,0.413652,0.287572,0.138385,-1.034147,-0.481262,-0.455510,0.299084,-0.456161,0.086636,-0.148714,-0.358255,0.720492,1.262395,-0.269386,0.091372,0.369351,0.068621,-0.078041,-0.104137,0.004393
0.194866,0.093931,0.112982,0.136405,-0.042837,-0.027524,0.031770,-0.335747,0.082810,0.419873,0.292127,0.147804,-1.027413,-0.475192,-0.456751,0.294520,-0.469489,0.090772,-0.151844,-0.349438,0.698408,1.258345,-0.261020,0.082524,0.357160,0.067417,-0.082499,-0.105989,-0.013038
0.196804,0.094301,0.102399,0.140646,-0.043427,-0.025082,0.025574,-0.340301,0.091463,0.419742,0.294145,0.153997,-1.009406,-0.459348,-0.458932,0.292051,-0.493048,0.095650,-0.157457,-0.337520,0.662869,1.250935,-0.253608,0.067011,0.351119,0.063252,-0.090784,-0.103344,-0.046034
0.198311,0.094257,0.088529,0.146529,-0.043783,-0.021153,0.022264,-0.344246,0.101674,0.419509,0.295499,0.159914,-0.981787,-0.440477,-0.459459,0.285785,-0.519523,0.102249,-0.164096,-0.323271,0.617504,1.244930,-0.255950,0.047398,0.340764,0.058837,-0.102234,-0.098014,-0.089031
0.198958,0.093385,0.068083,0.155694,-0.043670,-0.014251,0.024726,-0.346974,0.115004,0.419073,0.295522,0.165282,-0.934945,-0.415551,-0.456679,0.271925,-0.551830,0.112288,-0.172790,-0.304358,0.552483,1.241736,-0.277802,0.019586,0.321779,0.053920,-0.120014,-0.087313,-0.152032
0.200759,0.090777,0.049356,0.162371,-0.045496,-0.011275,0.025975,-0.347304,0.125158,0.418105,0.298735,0.170922,-0.892548,-0.398026,-0.451250,0.265227,-0.579677,0.118842,-0.177114,-0.298527,0.492683,1.232285,-0.289096,-0.002594,0.308007,0.045510,-0.132619,-0.081658,-0.213947
0.203136,0.087303,0.031490,0.167804,-0.048291,-0.010261,0.026619,-0.346434,0.133724,0.416870,0.303543,0.176698,-0.852375,-0.384203,-0.444497,0.262111,-0.605294,0.123652,-0.179253,-0.299236,0.435492,1.219705,-0.295111,-0.021957,0.296841,0.035354,-0.142636,-0.078527,-0.275319
0.205646,0.080241,0.023897,0.170223,-0.052656,-0.013401,0.025280,-0.348903,0.136333,0.409996,0.307942,0.182501,-0.830038,-0.371350,-0.441749,0.268495,-0.628685,0.123318,-0.176920,-0.309314,0.396630,1.209496,-0.265754,-0.031612,0.283959,0.029033,-0.141869,-0.070804,-0.324192
0.207398,0.072278,0.017125,0.172308,-0.057572,-0.017334,0.025409,-0.350747,0.138070,0.403073,0.312070,0.188739,-0.812967,-0.358199,-0.439789,0.275972,-0.653692,0.123051,-0.174656,-0.320279,0.361182,1.199779,-0.225745,-0.040511,0.267485,0.023451,-0.138469,-0.063597,-0.372374
