joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-1.398048,-0.299399,-0.324561,-0.140022,-0.198107,-0.068100,-0.898717,-0.136917,1.056614,2.539999,0.573162,-2.851237,-1.754639,-1.621594,-0.711902,0.554061,-1.485805,0.156024,0.041549,-0.208543,-0.521725,2.698170,-0.022525,-0.344459,1.829774,-2.267970,-1.041448,-1.579726,1.263267
-1.004166,-0.273195,-0.242927,-0.089363,-0.120418,-0.056790,-0.587781,0.038891,0.882637,1.847375,0.473520,-2.142957,-1.353056,-1.170485,-0.565718,0.317214,-1.134726,0.115587,-0.015901,-0.160695,-0.394669,1.853995,-0.527427,-0.153553,1.184709,-1.613459,-0.836932,-1.029483,0.800860
-0.216401,-0.220786,-0.079660,0.011957,0.034961,-0.034169,0.034090,0.390507,0.534682,0.462128,0.274235,-0.726396,-0.549891,-0.268268,-0.273351,-0.156480,-0.432567,0.034714,-0.130800,-0.065000,-0.140557,0.165646,-1.537231,0.228258,-0.105421,-0.304437,-0.427900,0.071005,-0.123954
-0.141229,-0.180994,-0.116467,-0.112197,0.015231,-0.056951,-0.042767,0.386850,0.388251,0.183932,0.231305,-0.589804,-0.440376,-0.121170,-0.105278,-0.128468,-0.511439,-0.002053,-0.062368,-0.265965,0.044994,-0.062582,-1.746068,0.545590,-0.270768,-0.179532,-0.338455,-0.016275,0.003873
-0.103644,-0.161099,-0.134870,-0.174274,0.005366,-0.068341,-0.081196,0.385021,0.315035,0.044834,0.209839,-0.521508,-0.385618,-0.047621,-0.021242,-0.114463,-0.550875,-0.020436,-0.028152,-0.366447,0.137770,-0.176697,-1.850486,0.704255,-0.353441,-0.117079,-0.293733,-0.059915,0.067787
0.065133,-0.126205,-0.083152,-0.212306,-0.020114,-0.130701,-0.017759,0.314385,0.169974,-0.046151,0.230308,-0.390872,-0.407876,0.010592,-0.100299,-0.168480,-0.542435,0.032787,-0.070204,-0.480731,0.255729,-0.253580,-2.127261,0.761225,-0.414187,0.001445,-0.231288,0.199302,-0.344174
0.080480,-0.111832,-0.076563,-0.198880,-0.017338,-0.130335,0.002290,0.281815,0.138973,-0.045207,0.230239,-0.392058,-0.431385,0.015460,-0.124892,-0.176089,-0.546190,0.038957,-0.092930,-0.551358,0.334970,-0.318458,-2.162569,0.774473,-0.412987,-0.017608,-0.201825,0.177113,-0.173774
0.111175,-0.083087,-0.063386,-0.172027,-0.011786,-0.129602,0.042389,0.216675,0.076970,-0.043319,0.230101,-0.394431,-0.478404,0.025196,-0.174077,-0.191305,-0.553701,0.051299,-0.138381,-0.692610,0.493453,-0.448215,-2.233187,0.800969,-0.410587,-0.055715,-0.142898,0.132735,0.167028
0.168481,-0.069597,0.012467,-0.160904,-0.015815,-0.148731,0.164392,0.271456,0.048302,0.005763,0.225731,-0.402244,-0.606351,0.105256,-0.206348,-0.245229,-0.456949,0.044754,-0.167277,-0.748892,0.612494,-0.492883,-2.151229,0.711691,-0.278989,-0.050468,-0.063954,0.120340,0.110132
0.197133,-0.062852,0.050394,-0.155343,-0.017830,-0.158295,0.225394,0.298847,0.033969,0.030304,0.223546,-0.406150,-0.670324,0.145285,-0.222483,-0.272191,-0.408573,0.041481,-0.181725,-0.777033,0.672015,-0.515217,-2.110250,0.667052,-0.213190,-0.047845,-0.024482,0.114142,0.081685
0.142453,-0.130924,0.087608,-0.124922,-0.110887,-0.125949,0.162781,-0.236234,0.013141,-0.051390,0.193259,-0.429273,-0.659704,-0.053269,-0.144897,-0.240515,-0.401506,0.019893,-0.009734,-0.763394,0.860127,-0.475545,-2.552956,0.411736,1.212396,-0.054870,-0.216093,0.066375,0.292189
0.098382,-0.133515,0.142402,-0.096510,-0.099425,-0.128408,0.131815,-0.310268,-0.015743,-0.003431,0.157274,-0.402344,-0.710101,-0.061214,-0.124591,-0.242119,-0.383561,0.010020,0.015717,-0.691048,0.879616,-0.459890,-2.625659,0.323936,1.291256,-0.067176,-0.210816,-0.048926,0.377357
0.010238,-0.138698,0.251989,-0.039688,-0.076500,-0.133326,0.069883,-0.458337,-0.073513,0.092487,0.085305,-0.348485,-0.810894,-0.077105,-0.083979,-0.245326,-0.347671,-0.009728,0.066618,-0.546355,0.918592,-0.428581,-2.771065,0.148336,1.448978,-0.091788,-0.200262,-0.279526,0.547694
0.049600,-0.132892,0.325784,-0.044362,-0.135787,-0.108198,0.241636,-0.424331,-0.108161,0.088579,0.009198,-0.300683,-0.954887,-0.086651,0.036848,-0.227669,-0.216524,0.082347,0.032753,-0.550506,0.959220,-0.363972,-2.984448,0.250998,1.644027,0.039925,-0.023539,-0.416772,0.646557
